theme,title,url,keywords
Adaptive and multi-stakeholder governance and collaboration,Woman bitten by snake found alive after week-long search in remote Snowy Mountains,https://www.theguardian.com/australia-news/2024/oct/27/woman-bitten-by-snake-found-alive-after-week-long-search-in-remote-snowy-mountains,policy
Adaptive and multi-stakeholder governance and collaboration,New Queensland premier David Crisafulli vows to legislate ‘adult time for adult crime’ policy by Christmas,https://www.theguardian.com/australia-news/2024/oct/27/new-queensland-premier-david-crisafulli-vows-to-legislate-adult-time-for-adult-policy-by-christmas,policy
Adaptive and multi-stakeholder governance and collaboration,Labor accuses Peter Dutton of trying to ‘force nuclear energy on Queenslanders’,https://www.theguardian.com/australia-news/2024/oct/27/labor-accuses-peter-dutton-of-trying-force-nuclear-energy-on-queenslanders,policy
Adaptive and multi-stakeholder governance and collaboration,Scheme to boost French school trips to Britain ‘at risk’ under new UK entry rules,https://www.theguardian.com/politics/2024/oct/27/french-school-trips-scheme-uk-new-entry-rules-brexit,policy
Adaptive and multi-stakeholder governance and collaboration,Georgia’s ruling party leading in pivotal election ahead of pro-EU opposition,https://www.theguardian.com/world/2024/oct/26/georgias-ruling-party-and-pro-western-opposition-both-claim-election-victory,policy
Adaptive and multi-stakeholder governance and collaboration,"Cutting off Unrwa would deeply harm Israel’s reputation, says UK minister",https://www.theguardian.com/politics/2024/oct/27/unrwa-israel-reputation-uk-minister-hamish-falconer,governance
Adaptive and multi-stakeholder governance and collaboration,Iran’s supreme leader says military should decide how to respond to Israeli attack,https://www.theguardian.com/world/2024/oct/27/iran-supreme-leader-ayatollah-ali-khamenei-israel-attack,policy
Adaptive and multi-stakeholder governance and collaboration,Joe Biden says he hopes latest Israeli strike on Iran will end escalation,https://www.theguardian.com/world/2024/oct/26/joe-biden-says-he-hopes-latest-israeli-strike-on-iran-will-end-escalation,policy
Adaptive and multi-stakeholder governance and collaboration,Tuesday briefing: Canada puts India ‘on notice’ as row over alleged killing of Sikh activists escalates,https://www.theguardian.com/world/2024/oct/22/tuesday-briefing-how-canada-and-indias-year-long-diplomatic-row-has-escalated,policy
Adaptive and multi-stakeholder governance and collaboration,Regulators urged to examine UK business dealings with Bangladeshi ex-minister,https://www.theguardian.com/business/2024/oct/22/regulators-urged-to-examine-uk-business-dealings-with-bangladeshi-ex-minister,"regulation, policy"
Adaptive and multi-stakeholder governance and collaboration,India’s airline industry in chaos after 90 hoax bomb threats in a week,https://www.theguardian.com/world/2024/oct/21/india-airline-industry-in-chaos-after-90-hoax-bomb-threats-in-a-week,regulation
Adaptive and multi-stakeholder governance and collaboration,"Labour should ‘invest big’ in arts and culture projects, says top economist",https://www.theguardian.com/uk-news/2024/oct/27/labour-investment-uk-arts-and-culture-andy-haldane-rsa,"policy, collaboration"
Adaptive and multi-stakeholder governance and collaboration,MPs’ opposition to assisted dying bill grows amid criticism of lack of debate,https://www.theguardian.com/society/2024/oct/27/assisted-dying-bill-mps-opposition,policy
Adaptive and multi-stakeholder governance and collaboration,Rachel Reeves could make it easier for pubs to sell beers from local breweries,https://www.theguardian.com/business/2024/oct/27/rachel-reeves-could-easier-pubs-sell-beers-local-breweries,policy
Adaptive and multi-stakeholder governance and collaboration,‘It is about people’s love of the river’: swimming group fighting for rights in the Avon,https://www.theguardian.com/environment/2024/oct/27/swimming-group-fighting-rights-avon-river,policy
Adaptive and multi-stakeholder governance and collaboration,Positive assessment rates for autism vary widely between parts of England,https://www.theguardian.com/society/2024/oct/27/positive-assessment-rates-for-autism-vary-widely-between-parts-of-england,policy
Adaptive and multi-stakeholder governance and collaboration,‘Fundamentally saddened’: Washington Post readers on failure to endorse Harris,https://www.theguardian.com/media/2024/oct/27/washington-post-readers-on-failure-to-endorse-kamala-harris,policy
Adaptive and multi-stakeholder governance and collaboration,‘If I had the power I’d destroy the whole thing’: what went wrong with the ghost town of Disney-style castles?,https://www.theguardian.com/world/2024/oct/26/what-went-wrong-with-ghost-town-disney-style-castles-turkey,policy
Adaptive and multi-stakeholder governance and collaboration,Iran mocks Israel’s ‘weak’ attacks as hardliners call for reprisal,https://www.theguardian.com/world/2024/oct/26/iran-mocks-israel-attacks-weak-hardliners-reprisal,policy
Adaptive and multi-stakeholder governance and collaboration,"The weirdest thing about stripping naked with 5,500 people? It didn’t feel weird at all",https://www.theguardian.com/artanddesign/2024/oct/27/naked-spencer-tunick-rising-tide-nude-photo-exhibition,policy
Adaptive and multi-stakeholder governance and collaboration,Australia rejects visa application by rightwing US pundit Candace Owens,https://www.theguardian.com/us-news/2024/oct/27/australia-rejects-visa-application-by-rightwing-us-pundit-candace-owens,policy
Adaptive and multi-stakeholder governance and collaboration,Washington Post cartoon team skewers paper’s decision not to make endorsement,https://www.theguardian.com/media/2024/oct/26/washington-post-cartoon-team-presidential-endorsement,policy
Adaptive and multi-stakeholder governance and collaboration,Anti-hate group vows to continue work after Elon Musk’s declaration of ‘war’,https://www.theguardian.com/technology/2024/oct/25/anti-hate-group-vows-continue-work-elon-musk-declaration-war,policy
Adaptive and multi-stakeholder governance and collaboration,From Rupert Murdoch to Thom Yorke: the growing backlash to AI,https://www.theguardian.com/technology/2024/oct/25/unjust-threat-murdoch-and-artists-align-in-fight-over-ai-content-scraping,policy
Adaptive and multi-stakeholder governance and collaboration,Tesla adds close to $150bn in market value on best day in over a decade,https://www.theguardian.com/technology/2024/oct/24/tesla-shares-elon-musk,policy
Adaptive and multi-stakeholder governance and collaboration,How to talk to your family and friends about not posting photos of your kids,https://www.theguardian.com/technology/2024/oct/24/posting-children-online-social-media-family-conversation,policy
Adaptive and multi-stakeholder governance and collaboration,Intel wins lengthy EU legal battle over £880m competition fine,https://www.theguardian.com/technology/2024/oct/24/intel-legal-battle-against-eu-880m-fine-competition,policy
Adaptive and multi-stakeholder governance and collaboration,Elon Musk worked in US illegally in 1995 after quitting school – report,https://www.theguardian.com/technology/2024/oct/26/elon-musk-illegal-immigration,"regulation, policy"
Adaptive and multi-stakeholder governance and collaboration,Missouri Republican says he is investigating Google for ‘censoring conservative speech’,https://www.theguardian.com/technology/2024/oct/25/missouri-republica-investigating-google-alleged-censoring-conservative-speech,policy
Adaptive and multi-stakeholder governance and collaboration,Chinese believed to have targeted Trump’s and Vance’s phones in US telecommunications breach,https://www.theguardian.com/us-news/2024/oct/25/china-hack-trump-vance,policy
Adaptive and multi-stakeholder governance and collaboration,Russia’s FSB protected Evil Corp gang that carried out Nato cyber-attacks,https://www.theguardian.com/technology/2024/oct/01/russian-gang-evil-corp-nato-cyber-attacks-protection-fsb-sanctions,policy
Adaptive and multi-stakeholder governance and collaboration,Trump campaign’s suspected Iranian hack may still be happening,https://www.theguardian.com/us-news/2024/sep/24/trump-campaign-iran-hack,policy
Adaptive and multi-stakeholder governance and collaboration,Russia accused of trying to influence US voters through online campaign,https://www.theguardian.com/us-news/article/2024/sep/04/russia-accused-of-trying-to-influence-us-voters-through-online-campaign,policy
Adaptive and multi-stakeholder governance and collaboration,Sweden warns of heightened risk of Russian sabotage,https://www.theguardian.com/world/article/2024/aug/29/sweden-warns-of-heightened-risk-of-russian-sabotage,policy
Adaptive and multi-stakeholder governance and collaboration,How one engineer beat restrictions on home computers in socialist Yugoslavia,https://www.theguardian.com/games/2024/oct/24/how-one-engineer-beat-the-ban-on-home-computers-in-socialist-yugoslavia,regulation
Adaptive and multi-stakeholder governance and collaboration,How one engineer beat restrictions on home computers in socialist Yugoslavia,https://www.theguardian.com/games/2024/oct/24/how-one-engineer-beat-the-ban-on-home-computers-in-socialist-yugoslavia#comments,regulation
Adaptive and multi-stakeholder governance and collaboration,‘Serial meets Twin Peaks’ in a true crime tale from Adam Buxton,https://www.theguardian.com/tv-and-radio/2024/oct/24/hear-here-up-in-smoke-podcast,policy
Adaptive and multi-stakeholder governance and collaboration,‘I wanted both sides of the business to be as intimate as being in bed’: tech entrepreneur William Reeve,https://www.theguardian.com/business/2024/oct/22/i-wanted-both-sides-of-the-business-to-be-as-intimate-as-being-in-bed-tech-entrepreneur-william-reeve,policy
Adaptive and multi-stakeholder governance and collaboration,Elon Musk hopes Trump victory will help his $44bn Twitter bet pay off,https://www.theguardian.com/technology/2024/oct/27/elon-musk-hopes-trump-victory-will-help-his-44bn-twitter-bet-pay-off,policy
Adaptive and multi-stakeholder governance and collaboration,"As Silicon Valley eyes US election, Elon Musk is not the only tech bro to worry about",https://www.theguardian.com/technology/2024/oct/20/as-silicon-valley-eyes-us-election-elon-musk-is-not-the-only-tech-bro-to-worry-about,policy
Adaptive and multi-stakeholder governance and collaboration,Zuckerberg Augustus: Meta’s emperor rebrands in new clothes,https://www.theguardian.com/technology/2024/sep/28/mark-zuckeberg-revamps-public-image-style,"collaboration, governance"
Adaptive and multi-stakeholder governance and collaboration,"If Civilization is falling apart, I might as well control it myself",https://www.theguardian.com/games/2024/oct/25/civilization-dominik-diamond-sixth,policy
Adaptive and multi-stakeholder governance and collaboration,"If Civilization is falling apart, I might as well control it myself",https://www.theguardian.com/games/2024/oct/25/civilization-dominik-diamond-sixth#comments,policy
Adaptive and multi-stakeholder governance and collaboration,Pushing Buttons: Is there even any point in making more powerful games consoles?,https://www.theguardian.com/games/2024/oct/23/is-there-even-any-point-in-making-more-powerful-games-consoles,policy
Adaptive and multi-stakeholder governance and collaboration,"Fear the Spotlight review – engrossing, eerie and unexpectedly thought-provoking horror",https://www.theguardian.com/games/2024/oct/23/fear-the-spotlight-review-cozy-game-pals-blumhouse-games,policy
Adaptive and multi-stakeholder governance and collaboration,‘I am valued here’: the extraordinary film that recreates a disabled boy’s rich digital life,https://www.theguardian.com/film/2024/oct/22/ibelin-film-mats-steen-world-of-warcraft,policy
Adaptive and multi-stakeholder governance and collaboration,Humanist chaplain Greg Epstein: ‘Our bowed interactions with our phones look like worship’,https://www.theguardian.com/books/2024/oct/27/greg-epstein-tech-agnostic-harvard,policy
Adaptive and multi-stakeholder governance and collaboration,Californians want controls on AI. Why did Gavin Newsom veto an AI safety bill? | Garrison Lovely,https://www.theguardian.com/commentisfree/2024/oct/16/california-ai-safety-bill-gavin-newsom,"regulation, policy"
Adaptive and multi-stakeholder governance and collaboration,Californians want controls on AI. Why did Gavin Newsom veto an AI safety bill? | Garrison Lovely,https://www.theguardian.com/commentisfree/2024/oct/16/california-ai-safety-bill-gavin-newsom#comments,"regulation, policy"
Adaptive and multi-stakeholder governance and collaboration,"By showing Musk’s X the red card, has Brazil scored a goal for all democracies?",https://www.theguardian.com/commentisfree/2024/sep/15/by-showing-musks-unruly-x-the-red-card-brazil-has-scored-a-goal-for-all-democracies,policy
Adaptive and multi-stakeholder governance and collaboration,"By showing Musk’s X the red card, has Brazil scored a goal for all democracies?",https://www.theguardian.com/commentisfree/2024/sep/15/by-showing-musks-unruly-x-the-red-card-brazil-has-scored-a-goal-for-all-democracies#comments,policy
Adaptive and multi-stakeholder governance and collaboration,Best Android 2024 – flagship smartphones compared and ranked,https://www.theguardian.com/thefilter/2024/oct/24/best-android-2024-flagship-smartphones-compared-and-ranked,policy
Adaptive and multi-stakeholder governance and collaboration,Why you should give your child a dumbphone if you want them to be smarter | Torsten Bell,https://www.theguardian.com/commentisfree/2024/oct/26/children-dumbphones-smartphones-app-usage-research,policy
Adaptive and multi-stakeholder governance and collaboration,Why you should give your child a dumbphone if you want them to be smarter | Torsten Bell,https://www.theguardian.com/commentisfree/2024/oct/26/children-dumbphones-smartphones-app-usage-research#comments,policy
Adaptive and multi-stakeholder governance and collaboration,"‘It’s not me, it’s just my face’: the models who found their likenesses had been used in AI propaganda",https://www.theguardian.com/technology/2024/oct/16/its-not-me-its-just-my-face-the-models-who-found-their-likenesses-had-been-used-in-ai-propaganda,collaboration
Adaptive and multi-stakeholder governance and collaboration,TechScape: Elon Musk is stumping hard for Donald Trump,https://www.theguardian.com/global/2024/oct/14/elon-musk-stumping-for-trump,"policy, collaboration"
Adaptive and multi-stakeholder governance and collaboration,Opt out: how to protect your baby’s photos on the internet,https://www.theguardian.com/technology/2024/oct/10/protecting-your-child-photos-online-privacy,policy
Adaptive and multi-stakeholder governance and collaboration,TechScape: An elite Silicon Valley school tests a tech fast,https://www.theguardian.com/technology/2024/oct/08/techscape-silicon-valley-school-tech-fast-ai-training,policy
Adaptive and multi-stakeholder governance and collaboration,What Elon Musk wants from a Donald Trump presidency,https://www.theguardian.com/technology/2024/oct/24/what-elon-musk-wants-from-a-donald-trump-presidency,governance
Adaptive and multi-stakeholder governance and collaboration,100 Best Books of the 21st Century,https://www.nytimes.com/interactive/2024/books/best-books-21st-century.html,collaboration
Adaptive and multi-stakeholder governance and collaboration,The Story of Kamala Harris,https://www.nytimes.com/2024/08/19/podcasts/the-daily/kamala-harris-dnc.html,policy
Adaptive and multi-stakeholder governance and collaboration,"Sweeping Raids, Giant Camps and Mass Deportations: Inside Trump’s 2025 Immigration Plans",https://www.nytimes.com/2023/11/11/us/politics/trump-2025-immigration-agenda.html,policy
Adaptive and multi-stakeholder governance and collaboration,What Drives Kamala Harris: The Art of the Possible,https://www.nytimes.com/2024/08/22/us/politics/kamala-harris-policy-change.html,"policy, governance"
Adaptive and multi-stakeholder governance and collaboration,If Trump Wins,https://www.nytimes.com/interactive/2024/06/16/us/politics/trump-policy-list-2025.html,policy
Adaptive and multi-stakeholder governance and collaboration,Voters Are Deeply Skeptical About the Health of American Democracy,https://www.nytimes.com/2024/10/27/us/politics/american-democracy-poll.html,governance
Adaptive and multi-stakeholder governance and collaboration,Iran’s Leaders Stress Their Right to Respond to Israel’s Strikes: Live Updates,https://www.nytimes.com/live/2024/10/27/world/israel-iran-lebanon-gaza,policy
Adaptive and multi-stakeholder governance and collaboration,"What Donald Trump Would Do, in His Own Words - The New York Times",https://www.nytimes.com/interactive/2024/10/25/opinion/what-trump-says.html,policy
Adaptive and multi-stakeholder governance and collaboration,The New York Times Editorial Board Endorses Kamala Harris for President - The New York Times,https://www.nytimes.com/2024/09/30/opinion/editorials/kamala-harris-2024-endorsement.html,policy
Adaptive and multi-stakeholder governance and collaboration,Opinion | Jill Stein’s Third-Party Candidacy,https://www.nytimes.com/2024/10/27/opinion/jill-stein-third-party.html,policy
Adaptive and multi-stakeholder governance and collaboration,"This App Set Out to Fight Pesticides. After VCs Stepped In, Now It Helps Sell Them",https://www.wired.com/story/plantix-pesticides-venture-capital-app/,collaboration
Adaptive and multi-stakeholder governance and collaboration,The American Who Waged a Tech War on China,https://www.wired.com/story/jake-sullivan-china-tech-profile/,policy
Adaptive and multi-stakeholder governance and collaboration,A High-Profile Geneticist Is Launching a Fusion-Power Moonshot,https://www.wired.com/story/plaintext-pacific-fusion-eric-lander/,policy
Adaptive and multi-stakeholder governance and collaboration,Apple’s Sales in China Are Stalling. What Will It Sacrifice to Turn Things Around?,https://www.wired.com/story/apples-sales-in-china-are-stalling-what-will-it-sacrifice-to-turn-things-around/,regulation
Adaptive and multi-stakeholder governance and collaboration,San Francisco Will Pay $212 Million for Its Train System to Ditch Floppy Disks,https://www.wired.com/story/san-francisco-floppy-disks-muni-upgrade/,policy
Adaptive and multi-stakeholder governance and collaboration,Influencers Get Their Final Marching Orders for the Election,https://www.wired.com/story/influencers-gop-and-democrats-ahead-of-election-day/,policy
Adaptive and multi-stakeholder governance and collaboration,"Judges and Border Police Targeted by Anti-Government Extremists, Doxed as ‘Traitors’",https://www.wired.com/story/judges-border-police-targeted-extremism/,policy
Adaptive and multi-stakeholder governance and collaboration,Chinese Hackers Target Trump Campaign via Verizon Breach,https://www.wired.com/story/trump-vance-phones-verizon-hack/,policy
Adaptive and multi-stakeholder governance and collaboration,The 16 Best Electric Bikes for Every Kind of Ride,https://www.wired.com/gallery/best-electric-bikes/,collaboration
Adaptive and multi-stakeholder governance and collaboration,The Best iPhone 16 Cases and Accessories,https://www.wired.com/gallery/best-iphone-16-cases-and-accessories/,collaboration
Adaptive and multi-stakeholder governance and collaboration,Chinese Hackers Target Trump Campaign via Verizon Breach,https://www.wired.com/story/trump-vance-phones-verizon-hack/#intcid=_wired-verso-hp-trending_797280c9-9710-4a06-9a55-e863ad1af6f2_popular4-1,policy
Adaptive and multi-stakeholder governance and collaboration,16 Best Mattresses You Can Buy Online (2024),https://www.wired.com/gallery/best-mattresses/,policy
Adaptive and multi-stakeholder governance and collaboration,Shirley Ayorkor Botchwey appointed Commonwealth secretary general,https://www.theguardian.com/world/2024/oct/26/shirley-ayorkor-botchwey-appointed-commonwealth-secretary-general,policy
Adaptive and multi-stakeholder governance and collaboration,"Biodiversity declining even faster in ‘protected’ areas, scientists warn Cop16",https://www.theguardian.com/environment/2024/oct/24/biodiversity-declining-even-faster-in-protected-areas-scientists-warn-cop16-30x30-conservation-target,policy
Adaptive and multi-stakeholder governance and collaboration,Breakdown in global order causing progress to stall in Africa – report,https://www.theguardian.com/global-development/2024/oct/23/global-rise-populism-causing-authoritarianism-africa-mo-ibrahim-governance-index,governance
Adaptive and multi-stakeholder governance and collaboration,‘There is no money’: Cuba fears total collapse amid grid failure and financial crisis,https://www.theguardian.com/world/2024/oct/26/cuba-power-grid-failure-financial-crisis,policy
Adaptive and multi-stakeholder governance and collaboration,Japan’s new PM in precarious position as country votes in tight election,https://www.theguardian.com/world/2024/oct/26/japans-new-prime-minister-faces-tight-election,policy
Adaptive and multi-stakeholder governance and collaboration,‘Time has come’: Commonwealth heads agree to reparatory justice dialogue despite reluctant UK,https://www.theguardian.com/world/2024/oct/26/commonwealth-heads-reparatory-justice-dialogue-despite-reluctant-uk,policy
Adaptive and multi-stakeholder governance and collaboration,"Labor lost Queensland election partly because it was obsessed with the Greens, Chandler-Mather says",https://www.theguardian.com/australia-news/2024/oct/28/labor-lost-queensland-election-partly-because-it-was-obsessed-with-the-greens-chandler-mather-says,policy
Adaptive and multi-stakeholder governance and collaboration,"Corporations using ‘ineffectual’ carbon offsets are slowing path to ‘real zero’, more than 60 climate scientists say",https://www.theguardian.com/environment/2024/oct/28/corporations-using-ineffectual-carbon-offsets-are-slowing-path-to-real-zero-more-than-60-climate-scientists-say,policy
Adaptive and multi-stakeholder governance and collaboration,Woman bitten by snake found alive after week-long search in remote Snowy Mountains,https://www.theguardian.com/australia-news/2024/oct/27/woman-bitten-by-snake-found-alive-after-week-long-search-in-remote-snowy-mountains,policy
Adaptive and multi-stakeholder governance and collaboration,New Queensland premier David Crisafulli vows to legislate ‘adult time for adult crime’ policy by Christmas,https://www.theguardian.com/australia-news/2024/oct/27/new-queensland-premier-david-crisafulli-vows-to-legislate-adult-time-for-adult-policy-by-christmas,policy
Adaptive and multi-stakeholder governance and collaboration,Labor accuses Peter Dutton of trying to ‘force nuclear energy on Queenslanders’,https://www.theguardian.com/australia-news/2024/oct/27/labor-accuses-peter-dutton-of-trying-force-nuclear-energy-on-queenslanders,policy
Adaptive and multi-stakeholder governance and collaboration,Scheme to boost French school trips to Britain ‘at risk’ under new UK entry rules,https://www.theguardian.com/politics/2024/oct/27/french-school-trips-scheme-uk-new-entry-rules-brexit,policy
Adaptive and multi-stakeholder governance and collaboration,Georgia’s ruling party leading in pivotal election ahead of pro-EU opposition,https://www.theguardian.com/world/2024/oct/26/georgias-ruling-party-and-pro-western-opposition-both-claim-election-victory,policy
Adaptive and multi-stakeholder governance and collaboration,"Cutting off Unrwa would deeply harm Israel’s reputation, says UK minister",https://www.theguardian.com/politics/2024/oct/27/unrwa-israel-reputation-uk-minister-hamish-falconer,governance
Adaptive and multi-stakeholder governance and collaboration,Iran’s supreme leader says military should decide how to respond to Israeli attack,https://www.theguardian.com/world/2024/oct/27/iran-supreme-leader-ayatollah-ali-khamenei-israel-attack,policy
Adaptive and multi-stakeholder governance and collaboration,Joe Biden says he hopes latest Israeli strike on Iran will end escalation,https://www.theguardian.com/world/2024/oct/26/joe-biden-says-he-hopes-latest-israeli-strike-on-iran-will-end-escalation,policy
Adaptive and multi-stakeholder governance and collaboration,Tuesday briefing: Canada puts India ‘on notice’ as row over alleged killing of Sikh activists escalates,https://www.theguardian.com/world/2024/oct/22/tuesday-briefing-how-canada-and-indias-year-long-diplomatic-row-has-escalated,policy
Adaptive and multi-stakeholder governance and collaboration,Regulators urged to examine UK business dealings with Bangladeshi ex-minister,https://www.theguardian.com/business/2024/oct/22/regulators-urged-to-examine-uk-business-dealings-with-bangladeshi-ex-minister,"regulation, policy"
Adaptive and multi-stakeholder governance and collaboration,India’s airline industry in chaos after 90 hoax bomb threats in a week,https://www.theguardian.com/world/2024/oct/21/india-airline-industry-in-chaos-after-90-hoax-bomb-threats-in-a-week,regulation
Adaptive and multi-stakeholder governance and collaboration,"Labour should ‘invest big’ in arts and culture projects, says top economist",https://www.theguardian.com/uk-news/2024/oct/27/labour-investment-uk-arts-and-culture-andy-haldane-rsa,"policy, collaboration"
